season,rule,p_champion_change,p_top3_change,rho_F,rho_J,drama_D,drama_D_late,upset_rate,suspense_H,suspense_H_late
16,rank,0.0,0.0,0.9496969696969696,0.8883636363636362,0.565382251613379,0.7897720028226255,0.05555555555555555,1.1288274657595785,1.1409297724903216
16,rank_save,0.26,0.41,0.9797575757575757,0.9225454545454546,0.6146674220938898,0.8825039141813616,0.01,0.653559108035983,0.662689342085063
16,percent,0.24,0.41,0.9567272727272725,0.8945454545454544,0.5555725759078812,0.7430142322500365,0.07,1.0898141521190492,1.1196815133716342
16,percent_save,0.26,0.44,0.9786666666666666,0.9144242424242423,0.5952173211494098,0.890458124815832,0.007777777777777778,0.5298768915379264,0.5376757745394393
17,rank,0.0,0.0,0.8888484848484849,0.8631515151515151,0.5982335197931102,0.4666666666666667,0.059,0.8260838336480942,0.5249414224435238
17,rank_save,0.33,0.34,0.8770909090909089,0.8620606060606057,0.5742676091044405,0.365,0.005,0.3697034006310272,0.07759376048649959
17,percent,0.3,0.38,0.935030303030303,0.9104242424242425,0.6719194808383477,0.5556666666666668,0.159,1.113443110096295,1.0506821207831756
17,percent_save,0.28,0.55,0.903878787878788,0.903030303030303,0.5974774157120932,0.46699999999999997,0.092,0.743566779786344,0.6154126853365821
18,rank,0.0,0.0,0.9587878787878787,0.9241212121212119,0.5614337390364565,0.6177479805089232,0.15222222222222223,1.0526956629675925,1.1561266189662256
18,rank_save,0.35,0.43,0.932121212121212,0.9110303030303029,0.5521643872858012,0.552293286623521,0.008888888888888889,0.4114398418481134,0.46477430623911986
18,percent,0.27,0.52,0.9490909090909091,0.9223030303030302,0.550559058902846,0.5801154417958716,0.15777777777777777,1.1703221122357097,1.23731987994773
18,percent_save,0.23,0.43,0.9495757575757575,0.929212121212121,0.5547088669988576,0.6040144882736328,0.08666666666666667,0.8370785734657199,1.0318999511055214
19,rank,0.0,0.0,0.9525454545454547,0.8919090909090909,0.5641066843789482,0.6665208713687717,0.122,1.0520218549694504,1.0689580553698674
19,rank_save,0.31,0.35,0.9317272727272728,0.9410000000000001,0.5514143784306306,0.7264323063136389,0.022,0.6361543241041508,0.7977483024294875
19,percent,0.29,0.38,0.9504545454545457,0.8951818181818183,0.5501060067183005,0.6277072161139937,0.136,1.1244228140599888,1.1794432229350127
19,percent_save,0.24,0.4,0.941909090909091,0.9288181818181819,0.5608598670025488,0.7093521786354966,0.048,0.8214052459281544,0.9410184412249875
20,rank,0.0,0.0,0.9307878787878786,0.9373333333333334,0.5750597590824928,0.41024791385931975,0.05666666666666667,0.6348169995054626,0.6170055215617594
20,rank_save,0.21,0.3,0.8895757575757576,0.9134545454545454,0.538304812607304,0.42614107783409017,0.006666666666666666,0.4942460851784332,0.5555614030584675
20,percent,0.27,0.37,0.9493333333333334,0.9252121212121212,0.5364731357484999,0.4097201463619941,0.21555555555555556,1.1754401197844673,1.149940558374008
20,percent_save,0.22,0.35,0.9253333333333333,0.926909090909091,0.5814514238511387,0.4514551732809567,0.07666666666666666,0.7257838363658715,0.6537245324134509
21,rank,0.0,0.0,0.9089090909090912,0.9051818181818183,0.6433684695192946,0.6173653964774447,0.233,1.1458366807897313,1.0210692637910255
21,rank_save,0.25,0.74,0.854727272727273,0.8775454545454547,0.5898095624961897,0.40941669750802295,0.181,0.9271308507574126,0.7547590092703188
21,percent,0.28,0.7,0.9461818181818182,0.927909090909091,0.7188938253739426,0.8595726558990816,0.275,1.2768690385734098,1.2811677965525452
21,percent_save,0.27,0.67,0.9364545454545457,0.9256363636363636,0.7358005771037162,0.9007799153207187,0.269,1.0903248227924822,1.1778075062471232
