season,week,n_active,n_elim,coverage_90,accuracy,top2_acc,brier,post_var_v_mean,avg_ci_width
16,6,7,1,1,1,1,0.07730249305771487,0.004856601428204819,0.268829941533913
16,7,6,1,1,1,1,0.05057026133863715,0.004856601428204819,0.3102898663075832
16,8,5,1,1,1,1,0.07819205544955958,0.004856601428204819,0.3689230217614765
17,2,10,1,1,1,1,0.2575690470442766,0.004193176224977282,0.1899347831244321
17,3,9,1,1,1,1,0.27752686221463085,0.004193176224977282,0.2085169226685878
17,4,8,1,1,1,1,0.1569121047818821,0.004193176224977282,0.22877022929185364
17,5,7,1,1,1,1,0.33722385079553835,0.004193176224977282,0.2588472788115751
17,8,6,1,1,1,1,0.40088721659710147,0.004193176224977282,0.28477583496307085
17,9,5,1,1,1,1,0.24349139095394726,0.004193176224977282,0.3348094718227642
17,10,4,1,1,1,1,0.11491252708771693,0.004193176224977282,0.40033975255314486
18,1,10,1,1,1,1,0.39423236999655703,0.004241940765719169,0.18937281373301426
18,2,9,1,1,1,1,0.07289704816282144,0.004241940765719169,0.20809230778900112
18,6,8,1,1,1,1,0.20350871312578092,0.004241940765719169,0.223058853003466
18,7,7,1,1,1,1,0.2071739297026837,0.004241940765719169,0.2534670512831869
18,8,6,1,1,1,1,0.18301948942632773,0.004241940765719169,0.2884114036494699
18,9,5,1,1,1,1,0.16569894154437081,0.004241940765719169,0.3359174103411794
19,1,11,1,1,1,1,0.13450042428868625,0.003906014638945759,0.17393417882312237
19,2,10,1,1,1,1,0.2183321822395662,0.003906014638945759,0.1883933498851122
19,3,9,1,1,1,1,0.09108638542697751,0.003906014638945759,0.2052950697172752
19,4,8,1,1,0,1,0.8757297553330045,0.003906014638945759,0.22964717025005432
19,6,7,1,1,1,1,0.2559673638335907,0.003906014638945759,0.2564293503078679
19,8,6,1,1,1,1,0.14270610633466843,0.003906014638945759,0.2903561911084734
19,9,5,1,1,1,1,0.22596777130410028,0.003906014638945759,0.3400666135796706
2,1,9,1,1,1,1,0.026148362811632204,0.007699541581948646,0.2397780665678902
2,2,8,1,1,1,1,0.04513392511086841,0.007699541581948646,0.26751399620379945
2,4,7,1,1,1,1,0.1188471652757195,0.007699541581948646,0.30122431912039616
2,5,6,1,1,1,1,0.0021232912966543116,0.007699541581948646,0.3500255108716554
2,6,5,1,1,1,1,0.015275306102958942,0.007699541581948646,0.40600563540010937
2,7,4,1,1,1,1,0.29291860898617633,0.007699541581948646,0.4826434371627894
20,2,10,1,1,0,1,0.6295153607226848,0.0041057794693769405,0.18015633161134964
20,3,9,1,1,1,1,0.21998594881185285,0.0041057794693769405,0.19667539336459097
20,4,8,1,1,1,1,0.3619829926398147,0.0041057794693769405,0.21701567723151355
20,5,7,1,1,1,1,0.2899362550283291,0.0041057794693769405,0.24156347913520593
20,6,6,1,1,1,1,0.32255161417592304,0.0041057794693769405,0.27709367694237397
20,7,5,1,1,1,1,0.3022591896169747,0.0041057794693769405,0.3253183033973452
20,8,4,1,1,1,1,0.21634097799375082,0.0041057794693769405,0.39137153598561414
21,2,11,2,1,1,1,0.6451141024987521,0.003644532587315915,0.17190487493130155
21,4,9,1,1,1,1,0.12347053475711113,0.003644532587315915,0.20510802684825927
21,6,8,1,1,1,1,0.13045602970835854,0.003644532587315915,0.2231942808014584
21,7,7,1,1,1,1,0.2791128088296298,0.003644532587315915,0.2502373338895806
21,8,6,1,1,1,1,0.0780383130616526,0.003644532587315915,0.28551932177102773
21,9,5,2,1,1,1,0.8282720087562523,0.003644532587315915,0.3294203942225724
22,2,11,1,1,1,1,0.015648756437037448,0.003510551924271827,0.16984286712142413
22,4,10,1,1,0,1,0.5362891031366477,0.003510551924271827,0.18186066588312821
22,6,9,1,1,1,1,0.19714654106709625,0.003510551924271827,0.19489145798743554
22,7,8,2,1,1,1,0.7564265792804011,0.003510551924271827,0.2153424895524101
