Dancing with the Stars - All Seasons Summary (1-34),Unnamed: 1,Unnamed: 2,Unnamed: 3,Season_Sheet,Couple,Pl,Wk1,Wk2,Wk1+2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk6+7,Wk9,Wk10N1,Wk10N2,Wk1N1,Wk1N2,Wk3+4,Wk10,Wk11N1,Wk11N2,Wk5+6,Wk7+8,Wk2N1,Wk2N2,Wk11,Wk4N1,Wk4N2,Wk4-1+2,Wk5N1,Wk5N2,Wk5-1+2,Wk10+11,Wk3N1,Wk3N2,Wk3-1+2,Wk8+9
,,,,S4,Ian & Cheryl,4th,21,22,43.0,24.0,24.0,24.0,24.0,27+27=54,22+25=47,,28+30=58,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Billy Ray & Karina,5th,13,21,34.0,21.0,21.0,17.0,21.0,17+21=38,18+20=38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,John & Edyta,6th,17,21,38.0,20.0,16.0,18.0,19.0,23+22=45,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Heather & Jonathan,7th,18,24,42.0,24.0,23.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Clyde & Elena,8th,16,18,34.0,16.0,15.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Leeza & Tony,9th,15,21,36.0,24.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Shandi & Brian,10th,19,20,39.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S4,Paulina & Alec,11th,19,21,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Hélio & Julianne,1st,25,27.0,,24.0,27.0,23.0,28.0,25+27=52,27+30=57,,30+30=60,25+29=54,+30=84,,,,,,,,,,,,,,,,,,,,,,
,,,,S5,Mel & Maks,2nd,24,23.0,,27.0,26.0,29.0,30.0,24+30=54,27+29=56,,30+30=60,28+27=55,+30=85,,,,,,,,,,,,,,,,,,,,,,
